,Screen_Size,Screen_Tech,Screen_Body_Ratio,CPU_Model,CPU_Freq,GPU_Model,RAM,Operating_System,CPU_Tickness,GPU_Freq,RAM_Type,Camera_Resolution,Selfie_Camera_Resolution,Width,Height,Tickness,Weight,Charge_Type,Battery_Size,Storage_Capacity,Release_Year,PRICE
230,6.1 inç,OLED,86.0 %,Apple A14 Bionic,Missing,Apple Quad-Core,6 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,71.5 mm,6.1 inç,7.4 mm,189 gr,Lightning,2815 mAh,256 GB,2020,"17.999,00 TL"
231,6.7 inç,Super AMOLED,89.2 %,Qualcomm SM8250 Snapdragon 865+,2.73 GHz,Mali-G77 MP11,8 GB RAM,Android 10.0,7 nm+,Missing,Missing,64 MP,10 MP,75.2 mm,6.7 inç,8.3 mm,192 gr,USB Type-C,4300 mAh,256 GB,2020,"13.898,99 TL"
232,6.53 inç,IPS LCD,84.21 %,MediaTek Helio G90T,2.05 GHz,Mali-G76 3EEMC4,6 GB RAM,Android 9.0 (Pie),12 nm,800 MHz,LPDDR4x,64 MP,20 MP,76.4 mm,6.53 inç,8.8 mm,199 gr,USB Type-C,4500 mAh,128 GB,2019,"4.149,00 TL"
233,6.1 inç,OLED,81.15 %,HiSilicon Kirin 970,2.36 GHz,Mali-G72 MP12,6 GB RAM,Android 8.1 (Oreo),10 nm,767 MHz,LPDDR4x,40 MP,24 MP,73.9 mm,6.1 inç,7.8 mm,180 gr,USB Type-C,4000 mAh,128 GB,2018,"8.679,00 TL"
234,6.1 inç,OLED,86.0 %,Apple A15 Bionic,3.22 GHz,Apple Quad-Core,4 GB RAM,iOS 15,5 nm,Missing,LPDDR5,12 MP,12 MP,71.5 mm,6.1 inç,7.7 mm,174 gr,Lightning,3240 mAh,512 GB,2021,"17.754,57 TL"
235,6.43 inç,AMOLED,83.5 %,Mediatek Helio G95,2.05 GHz,Mali-G76 MC4,6 GB RAM,Android 11,12 nm,Missing,LPDDR4x,64 MP,13 MP,74.5 mm,6.43 inç,8.3 mm,178.8 gr,USB Type-C,5000 mAh,64 GB,2021,"3.599,00 TL"
236,6.5 inç,PLS IPS,82.8 %,Exynos 850,2.0 GHz,Mali-G52,4 GB RAM,Android 10.0,8 nm,Missing,Missing,48 MP,13 MP,75.3 mm,6.5 inç,8.9 mm,192 gr,USB Type-C,5000 mAh,128 GB,2020,"3.499,00 TL"
237,6.2 inç,IPS LCD,79.25 %,MediaTek MT6737,1.3 GHz,Mali-T720 MP1,2 GB RAM,Android 10 (Q),28 nm,650 MHz,Missing,13 MP,5 MP,76 mm,6.2 inç,8.8 mm,180 gr,Micro-USB,4200 mAh,16 GB,2020,"1.299,00 TL"
238,6.1 inç,OLED,86.0 %,Apple A15 Bionic,3.22 GHz,5x Apple GPU,6 GB RAM,iOS 15,5 nm,Missing,LPDDR5,12 MP,12 MP,71.5 mm,6.1 inç,7.7 mm,204 gr,Lightning,3125 mAh,512 GB,2021,"27.799,00 TL"
239,6.3 inç,IPS LCD,80.98 %,Qualcomm Snapdragon 665 (SM6125),2.0 GHz,Adreno 610,4 GB RAM,Android 9.0 (Pie),11 nm,Missing,LPDDR4x,48 MP,13 MP,75.3 mm,6.3 inç,8.4 mm,190 gr,USB Type-C,4000 mAh,128 GB,2019,"3.134,04 TL"
240,6.5 inç,PLS IPS,81.9 %,Exynos 850,2.0 GHz,Mali-G52,4 GB RAM,Android 11,8 nm,Missing,Missing,48 MP,8 Mp,75.9 mm,6.5 inç,9.7 mm,221 gr,USB Type-C,6000 mAh,64 GB,2021,"2.673,04 TL"
241,6.7 inç,Super AMOLED,86.6 %,Exynos 9810,2.7 GHz,Mali-G72 MP18,8 GB RAM,Android 10.0,10 nm,Missing,LPDDR4x,12 MP,32 MP,76.1 mm,6.7 inç,8.7 mm,199 gr,USB Type-C,4500 mAh,128 GB,2020,"10.769,22 TL"
242,6.43 inç,AMOLED,84.6 %,Mediatek MT6779V Helio P95,2.2 GHz,PowerVR GM9446,8 GB RAM,Android 10.0,12 nm,970 MHz,LPDDR4x,48 MP,16 MP,73.7 mm,6.43 inç,7.4 mm,164 gr,USB Type-C,4015 mAh,128 GB,2020,"4.253,20 TL"
243,6.9 inç,Dynamic AMOLED,91.7 %,Exynos 990,2.73 GHz,Mali-G77 MP11,8 GB RAM,Android 10.0,7 nm+,Missing,Missing,108 MP,10 MP,77.2 mm,6.9 inç,8.1 mm,208 gr,USB Type-C,4500 mAh,256 GB,2020,"12.899,00 TL"
244,6.53 inç,IPS LCD,84.21 %,MediaTek Helio G90T,2.05 GHz,Mali-G76 3EEMC4,6 GB RAM,Android 9.0 (Pie),12 nm,800 MHz,LPDDR4x,64 MP,20 MP,76.4 mm,6.53 inç,8.8 mm,199 gr,USB Type-C,4500 mAh,128 GB,2019,"4.349,00 TL"
245,6.52 inç,IPS LCD,83.3 %,MediaTek MT6762 Helio P22,2.0 GHz,PowerVR GE8320,4 GB RAM,Android 10.0,12 nm,650 MHz,Missing,48 MP,8 Mp,74.7 mm,6.52 inç,8.4 mm,166 gr,USB Type-C,4000 mAh,128 GB,2020,"2.099,00 TL"
246,6.7 inç,Super AMOLED,87.2 %,Qualcomm SDM730 Snapdragon 730,2.2 GHz,Adreno 618,8 GB RAM,Android 10.0,8 nm,700 MHz,LPDDR4x,64 MP,32 MP,76 mm,6.7 inç,7.7 mm,179 gr,USB Type-C,4500 mAh,128 GB,2020,"5.879,02 TL"
247,6.5 inç,IPS LCD,83.7 %,MediaTek MT6833 Dimensity 700 5G,2.2 GHz,Mali-G57 MC2,6 GB RAM,Android 11,7 nm,950 MHz,LPDDR4x,48 MP,8 Mp,75.3 mm,6.5 inç,8.9 mm,190 gr,USB Type-C,5000 mAh,128 GB,2021,"4.036,62 TL"
248,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"1.599,00 TL"
249,6.1 inç,OLED,86.0 %,Apple A14 Bionic,Missing,Apple Quad-Core,4 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,71.5 mm,6.1 inç,7.4 mm,164 gr,Lightning,2775 mAh,128 GB,2020,"13.199,00 TL"
250,6.4 inç,Super AMOLED,Missing,Exynos 9611,2.3 GHz,Mali-G72 MP3,6 GB RAM,Android 10 (Q),10 nm,Missing,LPDDR4x,64 MP,16 MP,75.1 mm,6.4 inç,8.9 mm,191 gr,USB Type-C,6000 mAh,128 GB,2020,"5.950,00 TL"
251,6.53 inç,IPS LCD,84.81 %,MediaTek Helio P60,2.0 GHz,Mali-G72 MP3,6 GB RAM,Android 10 (Q),12 nm,800 MHz,Missing,48 MP,25 MP,76 mm,6.53 inç,8.8 mm,173 gr,USB Type-C,4500 mAh,128 GB,2020,"2.082,90 TL"
252,6.53 inç,IPS LCD,83.4%,Qualcomm SM6115 Snapdragon 662,2.0 GHz,Adreno 610,4 GB RAM,Android 10.0,11 nm,Missing,LPDDR4x,48 MP,8 Mp,77.3 mm,6.53 inç,9.6 mm,198 gr,USB Type-C,6000 mAh,64 GB,2021,"2.898,92 TL"
253,6.7 inç,OLED,87.4 %,Apple A15 Bionic,3.22 GHz,5x Apple GPU,6 GB RAM,iOS 15,5 nm,Missing,LPDDR5,12 MP,12 MP,78.1 mm,6.7 inç,7.7 mm,240 gr,Lightning,4373 mAh,128 GB,2021,"26.214,02 TL"
254,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,188 g,Missing,Missing,Missing,Missing,"9.999,00 TL"
255,6.43 inç,Super AMOLED,83.5 %,Qualcomm SDM678 Snapdragon 678,2.2 GHz,Adreno 612,4 GB RAM,Android 11,11 nm,Missing,LPDDR4x,48 MP,13 MP,74.5 mm,6.43 inç,8.3 mm,178.8 gr,USB Type-C,5000 mAh,128 GB,2021,"4.299,00 TL"
256,6.43 inç,Super AMOLED,83.5 %,Qualcomm SDM678 Snapdragon 678,2.2 GHz,Adreno 612,4 GB RAM,Android 11,11 nm,Missing,LPDDR4x,48 MP,13 MP,74.5 mm,6.43 inç,8.3 mm,178.8 gr,USB Type-C,5000 mAh,128 GB,2021,"4.299,00 TL"
257,6.4 inç,Super AMOLED,84.3 %,MediaTek Helio G80 (MT6769V),2.0 GHz,Mali-G52 MC2,4 GB RAM,Android 11,12 nm,950 MHz,Missing,48 MP,13 MP,73.6 mm,6.4 inç,8.4 mm,186 gr,USB Type-C,5000 mAh,128 GB,2021,"3.577,00 TL"
258,6.5 inç,Super AMOLED,84.8 %,Exynos 990,2.73 GHz,Mali-G77 MP11,6 GB RAM,Android 10.0,7 nm+,Missing,LPDDR5,12 MP,8 Mp,74.5 mm,6.5 inç,8.4 mm,190 gr,USB Type-C,4500 mAh,128 GB,2020,"6.499,00 TL"
259,4.7 inç,IPS LCD,65.61 %,Apple A10 Fusion,2.34 GHz,PowerVR 7600T Plus (MP6),2 GB RAM,iOS 10,16 nm,Missing,LPDDR4,12 MP,7 MP,67.1 mm,4.7 inç,7.1 mm,138 gr,Lightning,1960 mAh,32 GB,2016,"7.777,00 TL"
260,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,143 g,Missing,Missing,Missing,Missing,"2.299,00 TL"
261,6.09 inç,IPS LCD,78.82 %,Mediatek MT6761 Helio A22,2.0 GHz,PowerVR GE8320,2 GB RAM,Android 9.0 (Pie),12 nm,Missing,Missing,13 MP,8 Mp,73.5 mm,6.09 inç,8 mm,150 gr,Micro-USB,3020 mAh,32 GB,2019,"1.849,00 TL"
262,6.09 inç,IPS LCD,79.32 %,MediaTek MT6762D (Helio A25),1.8 GHz,PowerVR GE8320,4 GB RAM,Android 10 (Q),12 nm,600 MHz,LPDDR4x,13 MP,8 Mp,73.8 mm,6.09 inç,8.8 mm,160 gr,USB Type-C,4000 mAh,64 GB,2020,"2.321,62 TL"
263,6.26 inç,IPS LCD,77.87 %,UNISOC SC9863A,1.6 GHz,PowerVR GE8322,4 GB RAM,Android 11,28 nm,550 MHz,LPDDR4x,8 MP,5 MP,78.5 mm,6.26 inç,9.25 mm,214.5 gr,Micro-USB,3800 mAh,64 GB,2021,"1.569,00 TL"
264,6.5 inç,IPS LCD,83.7 %,MediaTek MT6833 Dimensity 700 5G,2.2 GHz,Mali-G57 MC2,6 GB RAM,Android 11,7 nm,950 MHz,LPDDR4x,48 MP,8 Mp,75.3 mm,6.5 inç,8.9 mm,190 gr,USB Type-C,5000 mAh,128 GB,2021,"4.194,01 TL"
265,6.67 inç,AMOLED,85.1 %,MediaTek MT6893 Dimensity 1200 5G,3.0 GHz,Mali-G77 MC9,8 GB RAM,Android 11,6 nm,886 MHz,LPDDR4x,108 MP,16 MP,76.9 mm,6.67 inç,8.8 mm,203 gr,USB Type-C,5000 mAh,256 GB,2021,"8.999,00 TL"
266,5.4 inç,OLED,85.1 %,Apple A15 Bionic,Missing,Apple Quad-Core,4 GB RAM,iOS 15,5 nm,Missing,LPDDR5,12 MP,12 MP,64.2 mm,5.4 inç,7.7 mm,141 gr,Lightning,2425 mAh,512 GB,2021,"15.985,00 TL"
267,6.5 inç,PLS IPS,81.9 %,MediaTek MT6739WW,1.5 GHz,PowerVR GE8100,3 GB RAM,Android 10.0,28 nm,570 MHz,Missing,13 MP,5 MP,75.9 mm,6.5 inç,9.1 mm,206 gr,Micro-USB,5000 mAh,32 GB,2021,"2.248,61 TL"
268,6.5 inç,Super AMOLED,84.8 %,Exynos 990,2.73 GHz,Mali-G77 MP11,8 GB RAM,Android 10.0,7 nm+,Missing,LPDDR5,12 MP,32 MP,74.5 mm,6.5 inç,8.4 mm,190 gr,USB Type-C,4500 mAh,256 GB,2020,"8.765,25 TL"
269,5.7 inç,Missing,76.9 %,Quad-core,1.95 GHz,Missing,2 GB RAM,Android 10.0,Missing,Missing,Missing,13 MP,5 MP,70.9 mm,5.7 inç,8.3 mm,Missing,Micro-USB,3000 mAh,16 GB,2020,"1.989,00 TL"
270,6.67 inç,IPS LCD,84.5 %,Qualcomm SM7125 Snapdragon 720G,2.3 GHz,Adreno 618,6 GB RAM,Android 10.0,8 nm,750 MHz,LPDDR4x,48 MP,16 MP,76.7 mm,6.67 inç,8.8 mm,209 gr,USB Type-C,5020 mAh,128 GB,2020,"3.527,02 TL"
271,6.53 inç,AMOLED,84.56 %,Mediatek Helio P90,2.2 GHz,PowerVR GM9446,8 GB RAM,Android 9.0 (Pie),Missing,Missing,Missing,48 MP,16 MP,75.8 mm,6.53 inç,8.7 mm,195 gr,USB Type-C,4000 mAh,128 GB,2019,"8.299,00 TL"
272,6.67 inç,IPS LCD,84.5 %,Qualcomm SM7125 Snapdragon 720G,2.3 GHz,Adreno 618,6 GB RAM,Android 10.0,8 nm,750 MHz,LPDDR4x,48 MP,16 MP,76.7 mm,6.67 inç,8.8 mm,209 gr,USB Type-C,5020 mAh,128 GB,2020,"3.919,02 TL"
273,6.5 inç,TFT LCD,83.4%,MediaTek MT6765 (Helio P35),2.3 GHz,PowerVR GE8320,4 GB RAM,Android 10.0,12 nm,680 MHz,Missing,48 MP,8 Mp,75.8 mm,6.5 inç,8.9 mm,205 gr,USB Type-C,5000 mAh,64 GB,2020,"2.675,40 TL"
274,6.4 inç,IPS LCD,83.5 %,HiSilicon Kirin 810,2.27 GHz,Mali-G52 MP6,6 GB RAM,Android 10.0,7 nm,820 MHz,Missing,48 MP,16 MP,76.3 mm,6.4 inç,8.7 mm,183 gr,USB Type-C,4200 mAh,128 GB,2020,"3.669,76 TL"
275,6.2 inç,Dynamic AMOLED,89.5 %,Exynos 990,2.73 GHz,Mali-G77 MP11,8 GB RAM,Android 10.0,7 nm+,Missing,LPDDR5,64 MP,10 MP,69.1 mm,6.2 inç,7.9 mm,163 gr,USB Type-C,4000 mAh,128 GB,2020,"9.350,00 TL"
276,6.82 inç,IPS LCD,83.2 %,Qualcomm SM4250 Snapdragon 460,1.8 GHz,Adreno 610,4 GB RAM,Android 11,11 nm,600 MHz,Missing,48 MP,8 Mp,77.1 mm,6.82 inç,9.1 mm,206 gr,USB Type-C,5000 mAh,64 GB,2021,"2.399,00 TL"
277,6.67 inç,IPS LCD,84.6 %,Qualcomm Snapdragon 860,2.96 GHz,Adreno 640,6 GB RAM,Android 11,7 nm,Missing,LPDDR4x,48 MP,20 MP,76.8 mm,6.67 inç,9.4 mm,215 gr,USB Type-C,5160 mAh,128 GB,2021,"4.341,30 TL"
278,6.43 inç,AMOLED,84.6 %,Mediatek MT6779V Helio P95,2.2 GHz,PowerVR GM9446,8 GB RAM,Android 10.0,12 nm,970 MHz,LPDDR4x,48 MP,16 MP,73.7 mm,6.43 inç,7.4 mm,164 gr,USB Type-C,4015 mAh,128 GB,2020,"3.959,00 TL"
279,6.1 inç,OLED,86.0 %,Apple A14 Bionic,Missing,Apple Quad-Core,6 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,71.5 mm,6.1 inç,7.4 mm,189 gr,Lightning,2815 mAh,128 GB,2020,"17.999,00 TL"
280,6.5 inç,IPS LCD,83.7 %,MediaTek MT6833 Dimensity 700 5G,2.2 GHz,Mali-G57 MC2,4 GB RAM,Android 11,7 nm,955 MHz,LPDDR4x,48 MP,8 Mp,75.3 mm,6.5 inç,8.9 mm,190 gr,USB Type-C,5000 mAh,128 GB,2021,"3.929,01 TL"
281,6.52 inç,IPS LCD,83.3 %,MediaTek MT6762 Helio P22,2.0 GHz,PowerVR GE8320,4 GB RAM,Android 10.0,12 nm,650 MHz,Missing,48 MP,8 Mp,74.7 mm,6.52 inç,8.4 mm,166 gr,USB Type-C,4000 mAh,128 GB,2020,"2.220,00 TL"
282,6.55 inç,AMOLED,85.3 %,Qualcomm SM7150 Snapdragon 732G,2.3 GHz,Adreno 618,8 GB RAM,Android 11,8 nm,800 MHz,LPDDR4x,64 MP,16 MP,75.7 mm,6.55 inç,6.8 mm,159 gr,USB Type-C,4250 mAh,128 GB,2021,"6.649,00 TL"
283,6.5 inç,TFT LCD,83.4%,MediaTek MT6765 (Helio P35),2.3 GHz,PowerVR GE8320,4 GB RAM,Android 10.0,12 nm,680 MHz,Missing,48 MP,8 Mp,75.8 mm,6.5 inç,8.9 mm,205 gr,USB Type-C,5000 mAh,128 GB,2020,"2.999,00 TL"
284,6.5 inç,Super AMOLED,84.8 %,Qualcomm Snapdragon 865 (SM8250),2.84 GHz,Mali-G77 MP11,8 GB RAM,Android 10.0,7 nm+,Missing,LPDDR5,12 MP,32 MP,74.5 mm,6.5 inç,8.4 mm,190 gr,USB Type-C,4500 mAh,256 GB,2020,"7.874,30 TL"
285,6.7 inç,OLED,87.4 %,Apple A14 Bionic,Missing,Apple Quad-Core,6 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,78.1 mm,6.7 inç,7.4 mm,228 gr,Lightning,3687 mAh,128 GB,2020,"20.999,00 TL"
286,6.8 inç,Dynamic AMOLED 2X,89.8 %,Exynos 2100,2.9 GHz,Mali-G78 MP14,12 GB RAM,Android 11,5 nm,Missing,LPDDR5,108 MP,12 MP,75.6 mm,6.8 inç,8.9 mm,227 gr,USB Type-C,5000 mAh,128 GB,2021,"17.409,00 TL"
287,6.4 inç,Super AMOLED,84.04 %,Samsung Exynos 9 9810,2.7 GHz,Mali-G72 MP18,6 GB RAM,Android 8.1 (Oreo),10 nm,710 MHz,LPDDR4x,12 MP,8 Mp,76.4 mm,6.4 inç,8.8 mm,201 gr,USB Type-C,4000 mAh,128 GB,2018,"8.819,02 TL"
288,4.7 inç,IPS LCD,65.4 %,Apple A13 Bionic,2.65 GHz,Apple GPU,3 GB RAM,iOS 13,7 nm+,Missing,Missing,12 MP,7 MP,67.3 mm,4.7 inç,7.3 mm,148 gr,Lightning,1821 mAh,128 GB,2020,"6.123,00 TL"
289,6.7 inç,Fluid AMOLED,90.3 %,Qualcomm SM8350 Snapdragon 888 5G,2.84 GHz,Adreno 660,12 GB RAM,Android 11,5 nm,840 MHz,LPDDR5,50 MP,16 MP,73.6 mm,6.7 inç,8.7 mm,197 gr,USB Type-C,4500 mAh,256 GB,2021,"15.799,00 TL"
290,6.52 inç,IPS LCD,82.9 %,MediaTek MT6765G Helio G35,2.3 GHz,PowerVR GE8320,4 GB RAM,Android 11,12 nm,680 MHz,LPDDR4x,13 MP,8 Mp,75.6 mm,6.52 inç,8.4 mm,190 gr,USB Type-C,5000 mAh,64 GB,2021,"2.641,10 TL"
291,6.67 inç,IPS LCD,84.5 %,Qualcomm SM7125 Snapdragon 720G,2.3 GHz,Adreno 618,6 GB RAM,Android 10.0,8 nm,750 MHz,LPDDR4x,48 MP,16 MP,76.7 mm,6.67 inç,8.8 mm,209 gr,USB Type-C,5020 mAh,64 GB,2020,"3.499,00 TL"
292,6.52 inç,IPS LCD,80.8 %,MediaTek Helio G35,2.3 GHz,PowerVR GE8320,4 GB RAM,Android 10.0,12 nm,680 MHz,LPDDR4x,13 MP,5 MP,76.4 mm,6.52 inç,8.9 mm,190 gr,Micro-USB,5000 mAh,64 GB,2021,"2.289,00 TL"
293,6.4 inç,Super AMOLED,84.5 %,Samsung Exynos 7 Series 7904,1.8 GHz,Mali-G71 MP2,4 GB RAM,Android 9.0 (Pie),14 nm,Missing,Missing,25 MP,16 MP,74.7 mm,6.4 inç,7.8 mm,166 gr,USB Type-C,4000 mAh,64 GB,2019,"2.899,00 TL"
294,6.53 inç,AMOLED,84.56 %,Mediatek Helio P90,2.2 GHz,PowerVR GM9446,8 GB RAM,Android 9.0 (Pie),Missing,Missing,Missing,48 MP,16 MP,75.8 mm,6.53 inç,8.7 mm,195 gr,USB Type-C,4000 mAh,128 GB,2019,"8.299,00 TL"
295,6.53 inç,IPS LCD,84.21 %,MediaTek Helio G90T,2.05 GHz,Mali-G76 3EEMC4,6 GB RAM,Android 9.0 (Pie),12 nm,800 MHz,LPDDR4x,64 MP,20 MP,76.4 mm,6.53 inç,8.8 mm,199 gr,USB Type-C,4500 mAh,64 GB,2019,"3.849,00 TL"
296,6.6 inç,IPS LCD,84.9 %,MediaTek MT6891Z Dimensity 1100 5G,2.6 GHz,Mali-G77 MC9,8 GB RAM,Android 11,6 nm,Missing,LPDDR4x,64 MP,16 MP,75.9 mm,6.6 inç,8.9 mm,193 gr,USB Type-C,5000 mAh,256 GB,2021,"5.159,00 TL"
297,6.67 inç,Super AMOLED,87.2 %,Qualcomm SM8250 Snapdragon 865,2.84 GHz,Adreno 650,6 GB RAM,Android 10.0,7 nm+,587 MHz,LPDDR4x,64 MP,20 MP,75.4 mm,6.67 inç,8.9 mm,219 gr,USB Type-C,4700 mAh,128 GB,2020,"5.775,00 TL"
298,6.5 inç,TFT LCD,83.4%,MediaTek MT6765 (Helio P35),2.3 GHz,PowerVR GE8320,4 GB RAM,Android 10.0,12 nm,680 MHz,Missing,48 MP,8 Mp,75.8 mm,6.5 inç,8.9 mm,205 gr,USB Type-C,5000 mAh,128 GB,2020,"2.934,12 TL"
299,6.47 inç,AMOLED,87.8 %,Qualcomm SDM730 Snapdragon 730G,2.2 GHz,Adreno 618,6 GB RAM,Android 10.0,8 nm,700 MHz,LPDDR4x,64 MP,16 MP,74.2 mm,6.47 inç,9.7 mm,204 gr,USB Type-C,5260 mAh,128 GB,2020,"5.492,90 TL"
300,6.6 inç,IPS LCD,84.9 %,MediaTek MT6891Z Dimensity 1100 5G,2.6 GHz,Mali-G77 MC9,8 GB RAM,Android 11,6 nm,Missing,LPDDR4x,64 MP,16 MP,75.9 mm,6.6 inç,8.9 mm,193 gr,USB Type-C,5000 mAh,128 GB,2021,"4.699,00 TL"
301,6.1 inç,OLED,86.0 %,Apple A14 Bionic,3.1 GHz,Apple Quad-Core,4 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,71.5 mm,6.1 inç,7.4 mm,164 gr,Lightning,2775 mAh,256 GB,2020,"14.375,00 TL"
302,6.51 inç,IPS LCD,82.6 %,Mediatek MT6765 Helio P35,2.35 GHz,PowerVR GE8320,4 GB RAM,Android 10.0,12 nm,Missing,LPDDR4x,13 MP,16 MP,75.7 mm,6.51 inç,8.4 mm,192 gr,USB Type-C,5000 mAh,128 GB,2021,"2.894,92 TL"
303,4.7 inç,IPS LCD,65.4 %,Apple A13 Bionic,2.65 GHz,Apple GPU,3 GB RAM,iOS 13,7 nm+,Missing,Missing,12 MP,7 MP,67.3 mm,4.7 inç,7.3 mm,148 gr,Lightning,1821 mAh,64 GB,2020,"6.449,00 TL"
304,6.47 inç,AMOLED,87.8 %,Qualcomm SDM730 Snapdragon 730G,2.2 GHz,Adreno 618,6 GB RAM,Android 10.0,8 nm,700 MHz,LPDDR4x,64 MP,16 MP,74.2 mm,6.47 inç,9.7 mm,204 gr,USB Type-C,5260 mAh,64 GB,2020,"4.449,00 TL"
305,6.4 inç,Super AMOLED,83.4%,Samsung Exynos 9 9810,2.7 GHz,Mali-G72 MP18,6 GB RAM,Android 8.1 (Oreo),10 nm,710 MHz,LPDDR4x,12 MP,8 Mp,76.4 mm,6.4 inç,8.8 mm,201 gr,USB Type-C,4000 mAh,128 GB,2018,"8.819,02 TL"
306,6.67 inç,IPS LCD,84.6 %,Qualcomm SM7150-AC Snapdragon 732G,2.3 GHz,Adreno 618,6 GB RAM,Android 10.0,8 nm,800 MHz,LPDDR4x,64 MP,20 MP,76.8 mm,6.67 inç,9.4 mm,215 gr,USB Type-C,5160 mAh,64 GB,2020,"3.861,10 TL"
307,6.67 inç,IPS LCD,85.2 %,Qualcomm SM8250 Snapdragon 865,2.84 GHz,Adreno 650,8 GB RAM,Android 10.0,7 nm+,587 MHz,LPDDR5,64 MP,20 MP,76.4 mm,6.67 inç,9.3 mm,216 gr,USB Type-C,5000 mAh,128 GB,2020,"8.829,00 TL"
308,5.8 inç,OLED,82.1 %,Apple A13 Bionic,2.66 GHz,Missing,4 GB RAM,iOS 13,7 nm,Missing,LPDDR4x,12 MP,12 MP,71.4 mm,5.8 inç,8.1 mm,188 gr,Lightning,Missing,64 GB,2019,"16.599,00 TL"
309,6.26 inç,IPS LCD,77.87 %,UNISOC SC9863A,1.6 GHz,PowerVR GE8322,4 GB RAM,Android 11,28 nm,550 MHz,LPDDR4x,8 MP,5 MP,78.5 mm,6.26 inç,9.25 mm,214.5 gr,Micro-USB,3800 mAh,64 GB,2021,"1.529,00 TL"
310,6.5 inç,Super AMOLED,88.3 %,Qualcomm SM7125 Snapdragon 720G,2.3 GHz,Adreno 618,8 GB RAM,Android 10.0,8 nm,750 MHz,LPDDR4x,48 MP,32 MP,73.2 mm,6.5 inç,7.7 mm,161 gr,USB Type-C,4000 mAh,256 GB,2020,"5.389,02 TL"
311,6.4 inç,Super AMOLED,84.21 %,Samsung Exynos 7 Octa 7884,1.6 GHz,Mali-G71 MP2,3 GB RAM,Android 9.0 (Pie),14 nm,Missing,LPDDR4,13 MP,8 Mp,74.7 mm,6.4 inç,7.8 mm,169 gr,USB Type-C,4000 mAh,32 GB,2019,"2.327,50 TL"
312,6.1 inç,IPS LCD,78.31 %,Apple A12 Bionic,2.5 GHz,Apple G11P MP4,3 GB RAM,iOS 12,7 nm,Missing,LPDDR4x,12 MP,7 MP,75.7 mm,6.1 inç,8.3 mm,194 gr,Lightning,2942 mAh,64 GB,2018,"9.099,84 TL"
313,6.5 inç,Super AMOLED,84.8 %,Exynos 990,2.73 GHz,Mali-G77 MP11,8 GB RAM,Android 10.0,7 nm+,Missing,LPDDR5,12 MP,32 MP,74.5 mm,6.5 inç,8.4 mm,190 gr,USB Type-C,4500 mAh,256 GB,2020,"7.824,32 TL"
314,6.5 inç,PLS IPS,81.9 %,Exynos 850,2.0 GHz,Mali-G52,4 GB RAM,Android 11,8 nm,Missing,Missing,48 MP,8 Mp,75.9 mm,6.5 inç,9.7 mm,221 gr,USB Type-C,6000 mAh,64 GB,2021,"2.673,04 TL"
315,6.52 inç,IPS LCD,80.8 %,MediaTek Helio G35,2.3 GHz,PowerVR GE8320,3 GB RAM,Android 10.0,12 nm,680 MHz,LPDDR4x,13 MP,5 MP,76.4 mm,6.52 inç,8.9 mm,190 gr,Micro-USB,5000 mAh,32 GB,2021,"2.099,00 TL"
316,6.7 inç,Super AMOLED,87.2 %,Qualcomm SDM730 Snapdragon 730,2.2 GHz,Adreno 618,8 GB RAM,Android 10.0,8 nm,700 MHz,LPDDR4x,64 MP,32 MP,76 mm,6.7 inç,7.7 mm,179 gr,USB Type-C,4500 mAh,128 GB,2020,"6.349,00 TL"
317,6.7 inç,Super AMOLED,91.3 %,Mediatek Helio G95,2.05 GHz,Mali-G76 MC4,8 GB RAM,Android 11,12 nm,Missing,Missing,50 MP,8 Mp,73.8 mm,6.7 inç,8.7 mm,201 gr,USB Type-C,4700 mAh,256 GB,2021,"6.999,00 TL"
318,6.4 inç,Super AMOLED,83.6 %,Mediatek Helio G80,2.0 GHz,Mali-G52 MC2,4 GB RAM,Android 11,12 nm,950 MHz,LPDDR4x,48 MP,13 MP,74 mm,6.4 inç,8.4 mm,186 gr,USB Type-C,5000 mAh,128 GB,2021,"2.896,43 TL"
319,6.7 inç,OLED,87.4 %,Apple A14 Bionic,Missing,Apple Quad-Core,6 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,78.1 mm,6.7 inç,7.4 mm,228 gr,Lightning,3687 mAh,128 GB,2020,"20.889,55 TL"
