,Screen_Size,Screen_Tech,Screen_Body_Ratio,CPU_Model,CPU_Freq,GPU_Model,RAM,Operating_System,CPU_Tickness,GPU_Freq,RAM_Type,Camera_Resolution,Selfie_Camera_Resolution,Width,Height,Tickness,Weight,Charge_Type,Battery_Size,Storage_Capacity,Release_Year,PRICE
209,6.55 inç,AMOLED,85.3 %,Qualcomm SM7150 Snapdragon 732G,2.3 GHz,Adreno 618,6 GB RAM,Android 11,8 nm,800 MHz,LPDDR4x,64 MP,16 MP,75.7 mm,6.55 inç,6.8 mm,157 gr,USB Type-C,4520 mAh,128 GB,2021,"5.899,00 TL"
210,6.67 inç,IPS LCD,84.08 %,MediaTek Helio G90,2.05 GHz,Mali-G76 MC4,6 GB RAM,Android 11,12 nm,720 MHz,LPDDR4x,48 MP,16 MP,76.9 mm,6.67 inç,8.9 mm,205 gr,USB Type-C,5000 mAh,128 GB,2020,"2.985,03 TL"
211,8.0 inç,Foldable OLED,86.9 %,Huawei Kirin 990 5G,2.86 GHz,Mali-G76 MP16,8 GB RAM,Android 10.0,7 nm+,Missing,LPDDR4x,40 MP,Missing,78.5 mm,8.0 inç,11 mm,300 gr,USB Type-C,4500 mAh,512 GB,2020,"22.147,02 TL"
212,6.5 inç,PLS IPS,81.9 %,Exynos 850,2.0 GHz,Mali-G52,4 GB RAM,Android 11,8 nm,Missing,Missing,48 MP,8 Mp,75.9 mm,6.5 inç,9.7 mm,221 gr,USB Type-C,6000 mAh,128 GB,2021,"2.659,00 TL"
213,6.1 inç,OLED,86.0 %,Apple A15 Bionic,3.22 GHz,5x Apple GPU,6 GB RAM,iOS 15,5 nm,Missing,LPDDR5,12 MP,12 MP,71.5 mm,6.1 inç,7.7 mm,204 gr,Lightning,3125 mAh,128 GB,2021,"21.555,10 TL"
214,6.7 inç,OLED,87.4 %,Apple A14 Bionic,Missing,Apple Quad-Core,6 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,78.1 mm,6.7 inç,7.4 mm,228 gr,Lightning,3687 mAh,128 GB,2020,"20.349,00 TL"
215,6.5 inç,PLS IPS,81.9 %,Exynos 850,2.0 GHz,Mali-G52,4 GB RAM,Android 11,8 nm,Missing,Missing,48 MP,8 Mp,75.9 mm,6.5 inç,9.7 mm,221 gr,USB Type-C,6000 mAh,128 GB,2021,"2.659,00 TL"
216,6.1 inç,OLED,86.0 %,Apple A14 Bionic,Missing,Apple Quad-Core,4 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,71.5 mm,6.1 inç,7.4 mm,164 gr,Lightning,2775 mAh,64 GB,2020,"12.935,02 TL"
217,5.4 inç,OLED,85.1 %,Apple A14 Bionic,Missing,Apple Quad-Core,4 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,64.2 mm,5.4 inç,7.4 mm,135 gr,Lightning,Missing,64 GB,2020,"10.400,00 TL"
218,6.1 inç,IPS LCD,79 %,Apple A13 Bionic,2.66 GHz,Missing,4 GB RAM,iOS 13,7 nm,Missing,LPDDR4x,12 MP,12 MP,75.7 mm,6.1 inç,8.3 mm,194 gr,Lightning,Missing,256 GB,2019,"12.493,00 TL"
219,6.4 inç,Super AMOLED,84.2 %,Exynos 9611,2.3 GHz,Mali-G72 MP3,4 GB RAM,Android 10.0,10 nm,Missing,LPDDR4x,48 MP,20 MP,75.1 mm,6.4 inç,8.9 mm,188 gr,USB Type-C,6000 mAh,64 GB,2020,"2.789,99 TL"
220,6.53 inç,IPS LCD,83.5 %,MediaTek Helio G85,2.0 GHz,Mali-G52 MC2,4 GB RAM,Android 10.0,12 nm,1000 MHz,LPDDR4x,48 MP,13 MP,77.2 mm,6.53 inç,8.9 mm,199 gr,USB Type-C,5020 mAh,128 GB,2020,"2.999,00 TL"
221,6.7 inç,Super AMOLED,86.6 %,Exynos 9810,2.7 GHz,Mali-G72 MP18,8 GB RAM,Android 10.0,10 nm,Missing,LPDDR4x,12 MP,32 MP,76.1 mm,6.7 inç,8.7 mm,199 gr,USB Type-C,4500 mAh,128 GB,2020,"8.899,00 TL"
222,6.7 inç,OLED,87.4 %,Apple A14 Bionic,Missing,Apple Quad-Core,6 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,78.1 mm,6.7 inç,7.4 mm,228 gr,Lightning,3687 mAh,512 GB,2020,"23.099,00 TL"
